request_id,customer_id,plan_type_id,request_date,target_date,completed_date,status,priority,assigned_coordinator,floor_area_sqm,revision_count
101,1,1,01/06/2026,06/06/2026,05/06/2026,Completed,Normal,Ana Reyes,45,0
102,1,2,03/06/2026,10/06/2026,,In Progress,High,Mark Santos,80,1
103,2,3,04/06/2026,12/06/2026,14/06/2026,Completed,Urgent,Ana Reyes,120,2
104,3,4,05/06/2026,13/06/2026,12/06/2026,Completed,High,Leo Garcia,90,0
105,3,5,06/06/2026,11/06/2026,11/06/2026,Completed,Normal,Mark Santos,70,0
106,4,6,08/06/2026,16/06/2026,,For Review,High,Ana Reyes,110,1
107,5,7,09/06/2026,13/06/2026,13/06/2026,Completed,Normal,Leo Garcia,60,0
108,5,8,10/06/2026,15/06/2026,,Pending,Normal,Mark Santos,65,0
109,6,9,11/06/2026,18/06/2026,20/06/2026,Completed,High,Ana Reyes,75,1
110,6,7,12/06/2026,16/06/2026,,In Progress,Low,Leo Garcia,55,0
